Date,Product,Category,Quantity,Unit Price,Total Sales,Store Location,Month,Weekday
2025-01-01,Shirt,Clothing,5,4072,20360,Delhi,2025-01,Wednesday
2025-01-01,Bag,Accessories,2,766,1532,Bangalore,2025-01,Wednesday
2025-01-01,Headphones,Electronics,3,47691,143073,Delhi,2025-01,Wednesday
2025-01-01,Shirt,Clothing,3,1985,5955,Delhi,2025-01,Wednesday
2025-01-01,Mobile,Electronics,4,2933,11732,Chennai,2025-01,Wednesday
2025-01-01,Shirt,Clothing,5,1484,7420,Chennai,2025-01,Wednesday
2025-01-01,Mobile,Electronics,5,27980,139900,Delhi,2025-01,Wednesday
2025-01-01,Headphones,Electronics,3,19442,58326,Mumbai,2025-01,Wednesday
2025-01-01,Shirt,Clothing,4,1275,5100,Bangalore,2025-01,Wednesday
2025-01-01,Watch,Accessories,3,2199,6597,Bangalore,2025-01,Wednesday
2025-01-01,Shirt,Clothing,1,3502,3502,Delhi,2025-01,Wednesday
2025-01-02,Bag,Accessories,5,3188,15940,Bangalore,2025-01,Thursday
2025-01-02,Mobile,Electronics,4,9292,37168,Chennai,2025-01,Thursday
2025-01-02,Watch,Accessories,2,2341,4682,Delhi,2025-01,Thursday
2025-01-02,Mobile,Electronics,5,23983,119915,Bangalore,2025-01,Thursday
2025-01-02,Shirt,Clothing,5,1075,5375,Bangalore,2025-01,Thursday
2025-01-02,Headphones,Electronics,1,27031,27031,Mumbai,2025-01,Thursday
2025-01-02,Shirt,Clothing,2,1321,2642,Mumbai,2025-01,Thursday
2025-01-03,Mobile,Electronics,4,41257,165028,Delhi,2025-01,Friday
2025-01-03,Bag,Accessories,2,461,922,Mumbai,2025-01,Friday
2025-01-03,Watch,Accessories,4,3642,14568,Chennai,2025-01,Friday
2025-01-03,Watch,Accessories,4,1316,5264,Mumbai,2025-01,Friday
2025-01-03,Shoes,Clothing,5,637,3185,Bangalore,2025-01,Friday
2025-01-03,Shoes,Clothing,2,679,1358,Delhi,2025-01,Friday
2025-01-03,Laptop,Electronics,5,49716,248580,Delhi,2025-01,Friday
2025-01-03,Bag,Accessories,1,2327,2327,Chennai,2025-01,Friday
2025-01-03,Bag,Accessories,3,691,2073,Bangalore,2025-01,Friday
2025-01-03,Headphones,Electronics,1,13166,13166,Delhi,2025-01,Friday
2025-01-04,Bag,Accessories,2,3399,6798,Bangalore,2025-01,Saturday
2025-01-04,Laptop,Electronics,4,48533,194132,Delhi,2025-01,Saturday
2025-01-04,Bag,Accessories,5,3031,15155,Chennai,2025-01,Saturday
2025-01-04,Watch,Accessories,3,1870,5610,Delhi,2025-01,Saturday
2025-01-04,Headphones,Electronics,5,8610,43050,Mumbai,2025-01,Saturday
2025-01-04,Headphones,Electronics,1,17912,17912,Mumbai,2025-01,Saturday
2025-01-04,Bag,Accessories,3,4788,14364,Bangalore,2025-01,Saturday
2025-01-04,Bag,Accessories,2,1784,3568,Bangalore,2025-01,Saturday
2025-01-04,Bag,Accessories,1,863,863,Delhi,2025-01,Saturday
2025-01-04,Shirt,Clothing,5,1978,9890,Bangalore,2025-01,Saturday
